Entry_ID	Form_ID	Word	Gloss	Flags	Headword	Head_Strategy	Source	Tags
d1851	f_wg6wjsszcbbrc	koṟa	defect, want	uncontracted-comparison-candidate	*kuṯ-ay-	krishnamurti-pfeiffer	dedr	
d1851	f_4x26yrpf6zq6g	kruyyu	to grow lean, diminish, droop, shrink (or with 1778 Ka.koragu)	initial-apical-or-cluster;initial-cluster	*kuṯ-ay-	krishnamurti-pfeiffer	dedr;K-Telugu;B-Telugu	
d1852	f_ilpifxbc36mmi	guṟaka	snoring	uncontracted-comparison-candidate	*gur_-	merriam-pdr	dedr	
d1853	f_ede6du3ig6h5g	grukka	a gulp	initial-apical-or-cluster;initial-cluster	gukku	dedr-reflex	dedr	
d1853	f_yprm3jh45xwdk	grukkili	a gulp	initial-apical-or-cluster;initial-cluster	gukku	dedr-reflex	dedr	
d1853	f_zauholzpmreqq	grukkẽḍu	a gulp	initial-apical-or-cluster;initial-cluster	gukku	dedr-reflex	dedr	
d1853	f_uyvp2zup34zws	grukku	to gulp liquid	initial-apical-or-cluster;initial-cluster	gukku	dedr-reflex	dedr;K-Telugu	
d1855	f_gdxeqv4rzjlki	gulibi	id	uncontracted-comparison-candidate	*kir-	merriam-pdr	dedr	
d1855	f_tyzsyp2q2dyci	gulimi	id	uncontracted-comparison-candidate	*kir-	merriam-pdr	dedr	
d1861	f_lv2owylaix7ea	gruccu	to thrust, push, insert (as a stick, needle or the like into something or through a hole), pierce, prick, thread together (as beads), thread a needle	initial-apical-or-cluster;initial-cluster	kuṟṟu	dedr-reflex	dedr	
d1864	f_krfl2lomilcem	kuruva	a raised ground, footpath on a hill	uncontracted-comparison-candidate	*kond_-	merriam-pdr	dedr	
d1881	f_qeizp3m7m7eim	guḍāramu	id	uncontracted-comparison-candidate	kūṭāram	dedr-reflex	dedr	
d1881	f_t7tk7sybntkhw	guḍāru	id	uncontracted-comparison-candidate	kūṭāram	dedr-reflex	dedr	
d1898	f_uqpfv7at2apre	krūru	sharp	initial-apical-or-cluster;initial-cluster	kūr	dedr-reflex	dedr	
d1907	f_anwefmgd7vkxw	kuriyu	to rain, shower, fall, (K. also) leak, rain down (fire, arrows)	uncontracted-comparison-candidate	kūlu	dedr-reflex	dedr	
d1922	f_jagv2iwtymn6i	guṭi	a hog	uncontracted-comparison-candidate	gūṟu	dedr-reflex	dedr	
d1923	f_o4b4iwmz35zfk	krukku	to stuff, cram, pack or stow too closely, push, thrust	initial-apical-or-cluster;initial-cluster	kūṟu-koḷ	dedr-reflex	dedr	
d1923	f_xupb3euygjc72	krukkuḍu	stuffing, cramming	initial-apical-or-cluster;initial-cluster	kūṟu-koḷ	dedr-reflex	dedr	
d1943	f_hgfhgvckgac36	geṭike	foot, leg, hoof	uncontracted-comparison-candidate	*geṭ-	merriam-pdr	dedr	
d1960	f_iiudq2nb3yeze	keralu	to cry out from alarm	uncontracted-comparison-candidate	*kēr-	merriam-pdr	dedr	
d1960	f_ouuina4dw6pcq	ceralu	to be in great glee, be jubilant; jubilation	uncontracted-comparison-candidate	*kēr-	merriam-pdr	dedr	noun
d1961	f_du6lx3y3fgtqw	cirāku	anger, displeasure, crossness	uncontracted-comparison-candidate	ceru	dedr-reflex	dedr	
d1961	f_ylth6wl4hrat6	ciramara	sullenness, moroseness; a disagreement	uncontracted-comparison-candidate	ceru	dedr-reflex	dedr	
d1961	f_neo3wsyte4kna	keralu	to be angry, enraged (or with 1597 Ta.ciṟukku). DED 1631	uncontracted-comparison-candidate	ceru	dedr-reflex	dedr	
d1964	f_6ctrp6a37mxk6	krēṭu	to clear the throat by coughing	initial-apical-or-cluster;initial-cluster	*kom-	merriam-pdr	dedr	
d1969	f_dsvhupywzzqbw	kalaŋku	side, part, region	uncontracted-comparison-candidate	*kèl-	merriam-pdr	dedr	
d1969	f_gqf2irgkjowfa	kelanu	side, part, region	uncontracted-comparison-candidate	*kèl-	merriam-pdr	dedr	
d1970	f_ypmtly2mon6qq	kelasamu	business, work. DED 1639	uncontracted-comparison-candidate	kelc	dedr-reflex	dedr	
