Partition	Input_Domain	Language_A	Language_B	Family_ID	Entry_IDs	Outcome_A	Outcome_B	Evidence_A	Evidence_B
primary	all-reviewed-inputs	Badaga	Gondi	d694	d694	R	D	f_pgx4nzbdir6w6	f_772q4s4lowhxm;f_cyoq4tpe5adlw;f_isqkuajleince;f_vu3zomz4yv5ry
primary	all-reviewed-inputs	Badaga	Gondi	d698	d698	R	D	f_2bp2mz5goi6hw;f_7w7qkit2tr3ie;f_aulhp4a6slcow;f_ej4csm5wvecpi;f_jzc4pyvr4e3ug;f_mbtrcqwvsgmlg;f_r3gztr3fefj7q;f_tjpx4unomcsdu	f_2bdc4shg66e42;f_2boi3ane25j24;f_2z34be5nxr3du;f_3jpa2gwfvioqi;f_6fvufjx3nojgc;f_aymkfg5kxwxt6;f_eb2xalh2uywbw;f_f4ytbsbzjfg2g;f_oyyt7pub2b5kw;f_pdilycwdj5t2w;f_q45kuj6q6t2o4;f_uo43fuchdwqyg;f_v7rbzp5g5wprc;f_yaieas427pj2g
primary	all-reviewed-inputs	Badaga	Gondi	d705	d705	R	R	f_5xdl2hkzgybt6	f_6nu5fb52jjyge;f_7husugynlniam;f_cbcdxtcyknyrs;f_jhf3atqrz44hq;f_supobgsdq5fxm;f_t5j7xrzewlthg
primary	all-reviewed-inputs	Badaga	Gondi	d707	d707	R	R	f_6eulywku7z2vs	f_5hnt3ydicaoa4;f_6ehk65jzfdp7q;f_7sapy5asnysl4;f_ecnq7lwoo6gjs;f_gdznm2sjc36e6;f_ljnrel6tzhwkm;f_lusmzjmer3qpq
primary	all-reviewed-inputs	Badaga	Gondi	d5409	d5409	R	R	f_ejyusbdthf2rk;f_iqzsil2selzzo	f_4p4iitvhefctu;f_jdoo2vxucmqau;f_pq4qasb745snk;f_puffkmgpdc4p4;f_q5jgg22ybxytq;f_qpvmvqrhwsiq6;f_ucyjz3ti2jmug;f_yjb6sipvikrce;f_zqxxhli2psmis
primary	all-reviewed-inputs	Badaga	Gondi	d5263	d5263	R	R	f_e6yh7km4wfzcy;f_vi53codmwakkk	f_373wodz7e4qcm;f_43362f3ka5w4e;f_er2vnkgatcl2s;f_jwfmucqzm6joe;f_o5h7gmco7hemm;f_pawavkojtexg6
primary	all-reviewed-inputs	Badaga	Gondi	d910	d910	R	R	f_4726edgs7qima;f_4aawwy2frox62;f_4hmg3hijywvw6;f_cyoqq7kjh2ty6;f_ijappz7igzrf4;f_jbi5mcdfzfyle;f_zj3zcyftkcx4c	f_4miv6ukszwdmg;f_4uyyjfjzbwkja;f_7wi7mlhk4ydfq;f_afvortdytujma;f_d4wvd553og5pg;f_eowzmasj7fftm;f_kgiqzt6tsqqi2;f_o3f5rbuwkl3b4;f_xdkaowxyxgdfi
primary	all-reviewed-inputs	Badaga	Gondi	d1818	d1818	R	R	f_dnen7kk2fxtgq;f_fhzflmkuj2khg;f_hjrbb2btpyyl4;f_mtuxaqnxwmm4k	f_35swhbwkhowos;f_55yaooermxbee;f_62gcmflzmzto6;f_bye4aordgi4k4;f_pqk26yeerl46u
primary	all-reviewed-inputs	Badaga	Gondi	d3259	d3259	R	R	f_gkqnyzbd43y6a;f_rubc7kopfzvlg	f_3n73yltqpjiok;f_4qesstv52tbfu;f_4vjtdzxqckfls;f_a5m3tzhkq6zbs;f_akfrz3c3xv6m2;f_inmojv4vrt45u;f_m6qopie3bvala;f_px6nsuukkh3sk;f_qsu4sotdkvofc;f_th4nvc2vt6jzk
primary	all-reviewed-inputs	Badaga	Gondi	d4760	d4760	R	mixed	f_4yprju277kfnq;f_54xe7z46gyi7c;f_66xx5ch3pznca;f_ctifgturchakq;f_e7dkuv6l5dy3m;f_ixpimemwk7h7y	f_4rvqx777lrris;f_6dobtjps3fi32;f_6gskwalgtvpou;f_aacjwdexhi2si;f_adb5oorchfn4m;f_b57c5bswphuca;f_daku4amessjuk;f_f4i4qrakge3f4;f_g64yhbkyt2rmc;f_tnfx7td3oeeje
primary	all-reviewed-inputs	Badaga	Gondi	d1574	d1574	R	R	f_kv3ywhtsgnoly	f_2dkbaqwj3o22c;f_2zlvkzz67gcik;f_7iwshvnk5hhig;f_asazoppe473kq;f_gwelz6xahq24e;f_jkfikxtreyqeo;f_khf5olg6r723s;f_o354guxro6nam;f_qu44ruspt4umq;f_tqxm63psrs3ks;f_u47quzr7rsdns
primary	all-reviewed-inputs	Badaga	Gondi	d2146	d2146	R	R	f_2wf4gwgsnrh62;f_phl4c7b4axxw2	f_3t4octjezusvm;f_7ktmmyxoeadlk;f_ajdyknv6kkjb2;f_chnswhp4ckrhc;f_hybs52ss6om6w;f_t5yck3dsi77as;f_tooovzlzggpco;f_vi2bskpioskxy
primary	all-reviewed-inputs	Badaga	Gondi	d3246	d3246	R	R	f_2kjsztbaeahmk;f_6gxu6dxhdfjbq;f_dryg77eqxhu4c;f_l376k5eh5i2gy;f_mfw6qj47xpmlo;f_p2y6xw6kk4tks;f_slcjyz3u5i2cw;f_sqx4krpgl3k2m;f_zzrmjzg6zuoss	f_2ornkp5isxwaa;f_5lyaw5ruw3vcg;f_atnga3gey76p2;f_bfgba7gdokkuw;f_blh3wse2vzu44;f_d7gwge7pdxyt4;f_eyplz7vevtbhs;f_fobl65mlx37t4;f_j62f47svbcdoe;f_jrk7zeqsuzfig;f_kyjf2yheomaui;f_lt35x2atz7uxc;f_mhq7hxj2xp5xg;f_rfxdotgp43hya;f_wiqfilvwm3snw;f_zuebiscvp45hc
primary	all-reviewed-inputs	Badaga	Gondi	d2237	d2237	R	R	f_2b4gimbxjwpdq;f_5deettmu5yzdu;f_6pgfynvok4ut2;f_7g3yh6o77tmww;f_cxsxqakywrub6;f_eah2cfqrzbtvs;f_ejbszw62om7vm	f_2m2uc6ilqa7se;f_2p4do6cxzyfhm;f_4dm7rmktb5gea;f_cz2zqysnwwyim;f_dc53xdulkmfz6;f_dxroyojfrykpo;f_sbtztclyalaqk;f_xgxchah23ouwu
primary	all-reviewed-inputs	Badaga	Gondi	d4194	d4194	R	R	f_35rdwaatdctko;f_o76leqecd3ueq;f_pk4td4fnceuu4	f_3kielmybx3wts;f_5dq45g33ib33c;f_64nzndntcdb4k;f_6rzcs7t3spydu;f_c46hkefmwz3wu;f_cc3pm3j6mtrj4;f_faxj2xdhwstq4;f_scs4u2kj3siyi;f_uq5umalc62uqe;f_wmpzmnaz35yte;f_zpotpvacbujwu
primary	all-reviewed-inputs	Badaga	Gondi	d2698	d2698	R	R	f_kpbxuumsrcrdi;f_ky2lcnder5nva;f_ryh645e2da54w;f_ujohhtimdte6o	f_4lwsz7zlkmzme;f_o6sywhirgyc6c
primary	all-reviewed-inputs	Badaga	Gondi	d3559	d3559	R	R	f_v7aqafai6u7zm	f_3ptqb6rkzrrh6;f_jphayyddlyxhg;f_l5arqag5upz2m;f_lmxb2smav7gjk;f_peoye5zh66dew;f_t7fd6kac2u5o6;f_vrriaifirnbre;f_wvskmjebip6v6;f_x5ya5g6vtnjde;f_xkrwlzj6d2upo;f_z4sn4q6f7xhmi;f_zrl6gp5w4dcfc
primary	all-reviewed-inputs	Badaga	Gondi	d3949	d3949	R	R	f_a2qkwgx4gvqqq;f_ck45zuk5u6ncw;f_j3xbjvw4r5j6y;f_jtia6zyiixkd2;f_m6z5bgaoy2j42	f_aabgdmfojvoti;f_cmnccp7yxra4g;f_k6gd2fpchb6zs;f_oyrcrrzxj5zhw
primary	all-reviewed-inputs	Badaga	Gondi	d4410	d4410	R	R	f_3cq7e62ohzhwe;f_eurjihkky3pji;f_naa7hebeyils6;f_qyreuylmbafc6;f_wdlts6ldzf5va	f_bd4lxossfwpju;f_dlet53d5jjlm6;f_dvmm7kec347ws;f_fc5qarcrwu3sg;f_gcru3gjylyyvy;f_ijgktminyiwca;f_ix7jvjnac6v7e;f_lkcagdaf4kerm;f_mtk76eaob7vio;f_oxgjtxfpywxlu;f_qri3k5t3bagvq;f_t4kye3uewlfas
primary	all-reviewed-inputs	Badaga	Gondi	d4968	d4968	R	R	f_ya6rbd56km35w	f_4sr6ffs7fiesu;f_6mib5vwfp55ea;f_6yhoomipxemf2;f_7lhsn7jliwygq;f_alzlrvwlbtbvy;f_il5ik67vin7ko;f_mmrgetwftmdmg;f_tbx637a6amqis;f_x2chdo2wciijg;f_yukuj47gcaslo;f_zmzncs3koiya6;f_zpr4cckx5xgo6
primary	all-reviewed-inputs	Badaga	Gondi	d811	d811	R	R	f_522r7oav2imay;f_kfvfxuaji6r6a;f_ut5kkwjpwi4tg	f_c2hqi7qtyllvi;f_fw2cbxo4j5bb4;f_hivhjncye3h54;f_v4rgk24oxo7rw;f_zasng36qzahiw
primary	all-reviewed-inputs	Badaga	Gondi	d3986	d3986	R	R	f_2uox6mykj2rba;f_7ezbejggbzab6;f_bjcqpqifk2ygw;f_k5gx5hkaxxb2a	f_2ntguz3m43awu;f_4ctyy3cl64tpe;f_hbrdmsg3dgg42;f_lf3j4hcoupiii;f_mgpbzg3fpybpm;f_ps2moxyoh6c7k;f_q3ynb2ko46yb4;f_sc3umscnpnuea;f_uw432pbffstuc;f_ype5q72ate6yy
primary	all-reviewed-inputs	Badaga	Gondi	d1479	d1479	R	R	f_a4is3q666gfvo;f_pvc24ppxmnkeg	f_aafbrgviiapay
primary	all-reviewed-inputs	Badaga	Gondi	d4039	d4039	R	R	f_gf7jchjdlxwxm;f_stfargjdq5jsu;f_wriqaa6go7baa;f_xq6grvraszi22;f_ye4xod5pebdc6	f_2dvrlo467zdq2;f_76x6jj2s4pqty;f_bpte43xicxj7a;f_fguw7iw4axztc;f_hu7avez3m54ko;f_hv4du3lstn3na;f_zhvw7wguwkyru
primary	all-reviewed-inputs	Badaga	Gondi	d2674	d2674	R	R	f_ksppzlyavdfxq	f_dpcp34eficax6;f_etzf5pp5wznim;f_mj6sk7aqm3ykc;f_obqenbww26bh4;f_pt363jya2b736;f_qdalhfs5sm2qc;f_sqk6xbmyxen7s
primary	all-reviewed-inputs	Badaga	Gondi	d816	d816	R	R	f_gklqdfthxunzw;f_hdzhytrndvhtc;f_oflicb54mv45a;f_yxcz2blxj7vdo	f_f6k2knysiwmmq;f_nfkiosdou66lo;f_r5ia667tmdgvi;f_ryzovgf6ko2wq;f_vueiaqgqfpipc;f_xgznco2aj54r6;f_xkupxl3iujme2;f_xqbjdckupg3w6
primary	all-reviewed-inputs	Badaga	Gondi	d817	d817	R	mixed	f_47fpgbldjjo4i;f_ph3m6hybyb76m	f_5uinq6qg7yb5s;f_6ezwdj5objetc;f_bpjllhjw2ycis;f_otxpty5hv5k6k;f_vie2xe5obqz7m;f_x2nvbvjfwsks6
primary	all-reviewed-inputs	Badaga	Gondi	d833	d833	R	R	f_6ns2rku6i5cl6;f_yfvejysaj7jgi;f_zpvyyqosqpzy6	f_5zh653cqpoury;f_6xk5zi6ejd2k2;f_c27i5wwkwynvg;f_j3zfrwfbrr25c;f_mtlmfoobuwka2;f_oufv5arsymtr4;f_v4eestzpkk5h6
primary	all-reviewed-inputs	Badaga	Gondi	d851	d851	R	D	f_3suo6og6hqdwq;f_a4txzudlxspri;f_pgfppxf4btnbi;f_q2fkqcfzsusfw	f_ked26xp53zufs;f_lo544aw7uxq6o
primary	all-reviewed-inputs	Badaga	Gondi	d859	d859	R	mixed	f_5xps4426pvlg4;f_7wmgzpl6c4oou;f_aaapys7jgsoxi	f_etqztfspep5mi;f_otexexel6e7wk;f_tcth6g4g5qxpg;f_yni6o5mhaf7ru
primary	all-reviewed-inputs	Badaga	Gondi	d946	d946	R	R	f_dgcmezux4n27q;f_im6cxisx6siru;f_jqvxjo6bt4ezo;f_nx7jsdvar7kb6;f_w25c6r73y63hy;f_zejx5qjkn57n6	f_2mheadgxnahqs;f_3pam2m3xjnoxc;f_5y573cdccjpp2;f_6y77yosquwugu;f_ccudzufsp436q;f_dbjo7fkrv4446;f_e4khtqcmollvu;f_gj66jfa2gjanm;f_h5hwhznnjwk7e;f_ic3btus7w5a3o;f_jwx6bw23e2p5w;f_kfinkt5dusk42;f_m53hrsxfq5jbg;f_m6vvzyi76nysg;f_mocf22vvkxk5u;f_nprcf27vkesm4;f_pgviull563yik;f_pwb2amox55v54;f_yuj4ynrfvb6yc
primary	all-reviewed-inputs	Badaga	Gondi	d965	d965	R	R	f_pogurlkrs6zdi;f_y6kdghqcnwmvy	f_l6vpfw2edw47y;f_yhml46vmqcy2o
