mode,concept,score,band,dardic_family_id,plains_family_id,dardic_age,plains_age,age_order
entry,GO OUT,0.292393,Middle: 0.2–<0.4,7479,7478,Reconstructed only,Reconstructed only,At least one undated
entry,DEW,0.286633,Middle: 0.2–<0.4,8989,855,Undated OIA,Undated OIA,At least one undated
entry,WOMAN,0.286618,Middle: 0.2–<0.4,13734,f_k66mptwk5okq6,Early-Vedic,Reconstructed only,At least one undated
entry,TESTICLES,0.283333,Middle: 0.2–<0.4,3331,1111,Epic,Early-Vedic,Plains earlier
entry,UDDER,0.28,Middle: 0.2–<0.4,2403,13666,Undated OIA,Early-Vedic,At least one undated
entry,STAND,0.278269,Middle: 0.2–<0.4,1907,2426,Early-Vedic,Early-Vedic,Same tagged era
entry,HEART,0.278245,Middle: 0.2–<0.4,14152,f_jl7b6dgwhptmm,Early-Vedic,Other origin,At least one undated
entry,BLOOD,0.272844,Middle: 0.2–<0.4,10539,11165,Early-Vedic,Early-Vedic,Same tagged era
entry,ALONE,0.265741,Middle: 0.2–<0.4,3470,2506,Early-Vedic,Reconstructed only,At least one undated
entry,SUNSHINE,0.265714,Middle: 0.2–<0.4,13574,4445,Early-Vedic,Early-Vedic,Same tagged era
entry,WE,0.265625,Middle: 0.2–<0.4,11302,986,Early-Vedic,Undated OIA,At least one undated
entry,FACE,0.265476,Middle: 0.2–<0.4,10174,10247,Early-Vedic,Early-Vedic,Same tagged era
entry,LIGHT (RADIATION),0.265077,Middle: 0.2–<0.4,8711,10896,Reconstructed only,Early-Vedic,At least one undated
entry,LOW,0.263462,Middle: 0.2–<0.4,10995,7540,Reconstructed only,Epic,At least one undated
entry,STRAIGHT,0.261212,Middle: 0.2–<0.4,13548,12632,Reconstructed only,Epic,At least one undated
entry,RESIN,0.259821,Middle: 0.2–<0.4,3187,10715,Epic,Undated OIA,At least one undated
entry,THREAD,0.258102,Middle: 0.2–<0.4,6236,6225,Early-Vedic,Undated OIA,At least one undated
entry,GRIND,0.258073,Middle: 0.2–<0.4,8386,8142,Early-Vedic,Early-Vedic,Same tagged era
entry,I,0.255556,Middle: 0.2–<0.4,992,9691,Early-Vedic,Undated OIA,At least one undated
entry,LEOPARD,0.253472,Middle: 0.2–<0.4,9341,4804,Undated OIA,Epic,At least one undated
entry,SCORPION,0.252381,Middle: 0.2–<0.4,5478,12081,Undated OIA,Early-Vedic,At least one undated
entry,GRANDDAUGHTER,0.25,Middle: 0.2–<0.4,8417,6955b,Epic,Early-Vedic,Plains earlier
entry,TEAR (OF EYE),0.25,Middle: 0.2–<0.4,919,10839,Early-Vedic,Early-Vedic,Same tagged era
entry,PATERNAL AUNT (FATHER'S SISTER),0.247308,Middle: 0.2–<0.4,9089,6890,Reconstructed only,Epic,At least one undated
entry,RAINBOW,0.246795,Middle: 0.2–<0.4,1577,6726,Early-Vedic,Early-Vedic,Same tagged era
entry,SPIDER,0.245897,Middle: 0.2–<0.4,9268,9883,Undated OIA,Undated OIA,At least one undated
entry,BODY,0.244375,Middle: 0.2–<0.4,5244,6557,Undated OIA,Early-Vedic,At least one undated
entry,SUN,0.24375,Middle: 0.2–<0.4,13574,6328,Early-Vedic,Epic,Dardic earlier
entry,BURN,0.243586,Middle: 0.2–<0.4,6248,5306,Early-Vedic,Early-Vedic,Same tagged era
entry,BATHE,0.24,Middle: 0.2–<0.4,13789,6803,Early-Vedic,Early-Vedic,Same tagged era
entry,SHARP,0.238846,Middle: 0.2–<0.4,5839,4918,Early-Vedic,Epic,Dardic earlier
entry,BURY,0.238636,Middle: 0.2–<0.4,6173,3979,Reconstructed only,Reconstructed only,At least one undated
entry,GRINDSTONE,0.2375,Middle: 0.2–<0.4,11348,8253,Reconstructed only,Epic,At least one undated
entry,MATERNAL GRANDFATHER,0.237143,Middle: 0.2–<0.4,10055,7059,Classical,Reconstructed only,At least one undated
entry,LEAD (GUIDE),0.236458,Middle: 0.2–<0.4,6966,13445,Early-Vedic,Early-Vedic,Same tagged era
entry,GO,0.236023,Middle: 0.2–<0.4,4939,10452,Early-Vedic,Early-Vedic,Same tagged era
entry,RIPE,0.235714,Middle: 0.2–<0.4,7654,7621,Early-Vedic,Early-Vedic,Same tagged era
entry,FIELD,0.235407,Middle: 0.2–<0.4,9557,3735,Early-Vedic,Early-Vedic,Same tagged era
entry,ADZE,0.233333,Middle: 0.2–<0.4,5618,11588,Classical,Early-Vedic,Plains earlier
entry,BRASS,0.232143,Middle: 0.2–<0.4,10752,8184,Medieval,Undated OIA,At least one undated
entry,FATHER,0.231305,Middle: 0.2–<0.4,9935,8179,Epic,Early-Vedic,Plains earlier
entry,MEASURE,0.230889,Middle: 0.2–<0.4,5979,10054,Epic,Reconstructed only,At least one undated
entry,PATERNAL UNCLE (FATHER'S BROTHER),0.230682,Middle: 0.2–<0.4,8188,2998,Early-Vedic,Reconstructed only,At least one undated
entry,CO-WIFE,0.229474,Middle: 0.2–<0.4,10453,13130,Epic,Early-Vedic,Plains earlier
entry,SMOOTH,0.229167,Middle: 0.2–<0.4,8152,4782,Epic,Epic,Same tagged era
entry,CHEST,0.226377,Middle: 0.2–<0.4,3607,5014,Early-Vedic,Reconstructed only,At least one undated
entry,FOAM,0.225,Middle: 0.2–<0.4,9108,3959,Early-Vedic,Reconstructed only,At least one undated
entry,PULL,0.222546,Middle: 0.2–<0.4,6613,5762,Reconstructed only,Epic,At least one undated
entry,INSIDE,0.222222,Middle: 0.2–<0.4,357,9504,Early-Vedic,Reconstructed only,At least one undated
entry,FEVER,0.222115,Middle: 0.2–<0.4,8519,5303,Medieval,Epic,Plains earlier
entry,PATH OR ROAD,0.221429,Middle: 0.2–<0.4,7785,10071,Early-Vedic,Epic,Dardic earlier
entry,SPRINGTIME,0.219318,Middle: 0.2–<0.4,11439,4915,Early-Vedic,Early-Vedic,Same tagged era
entry,POUR,0.219167,Middle: 0.2–<0.4,5735,5581,Undated OIA,Reconstructed only,At least one undated
entry,FEW,0.218915,Middle: 0.2–<0.4,722,13720,Early-Vedic,Early-Vedic,Same tagged era
entry,HURT (SOMEBODY),0.217593,Middle: 0.2–<0.4,12576,6376,Epic,Undated OIA,At least one undated
entry,BOW,0.217546,Middle: 0.2–<0.4,6636,6956,Undated OIA,Early-Vedic,At least one undated
entry,ALL,0.217277,Middle: 0.2–<0.4,9568,13276,Early-Vedic,Early-Vedic,Same tagged era
entry,MELT,0.216396,Middle: 0.2–<0.4,11906,4074,Early-Vedic,Classical,Dardic earlier
entry,UPPER LEG (THIGH),0.215476,Middle: 0.2–<0.4,9742,5082,Early-Vedic,Early-Vedic,Same tagged era
entry,CRY,0.214286,Middle: 0.2–<0.4,10734,10840,Reconstructed only,Early-Vedic,At least one undated
entry,ROAD,0.214144,Middle: 0.2–<0.4,7785,13577-2,Early-Vedic,Reconstructed only,At least one undated
entry,REED,0.212946,Middle: 0.2–<0.4,6936,12101,Early-Vedic,Early-Vedic,Same tagged era
entry,LIGHTNING,0.210349,Middle: 0.2–<0.4,9650,11745,Undated OIA,Medieval,At least one undated
entry,NAKED,0.210133,Middle: 0.2–<0.4,7502,6926,Reconstructed only,Early-Vedic,At least one undated
entry,HUSBAND,0.209647,Middle: 0.2–<0.4,9467,4435,Reconstructed only,Reconstructed only,At least one undated
entry,WORD,0.209407,Middle: 0.2–<0.4,11564,11199,Epic,Early-Vedic,Plains earlier
entry,WATERFALL,0.208333,Middle: 0.2–<0.4,3662,5343,Epic,Undated OIA,At least one undated
entry,LIE DOWN,0.207143,Middle: 0.2–<0.4,7722,11109,Early-Vedic,Epic,Dardic earlier
entry,BE,0.207075,Middle: 0.2–<0.4,13768,1031,Early-Vedic,Early-Vedic,Same tagged era
entry,DIE,0.206144,Middle: 0.2–<0.4,10278,9871,Early-Vedic,Early-Vedic,Same tagged era
entry,SEIZE,0.203869,Middle: 0.2–<0.4,4236,7619,Early-Vedic,Reconstructed only,At least one undated
entry,AGAIN,0.20236,Middle: 0.2–<0.4,4474,9078,Reconstructed only,Reconstructed only,At least one undated
entry,GO DOWN (DESCEND),0.201885,Middle: 0.2–<0.4,10905,1770,Epic,Early-Vedic,Plains earlier
entry,COOK (SOMETHING),0.200651,Middle: 0.2–<0.4,7654,10616,Early-Vedic,Early-Vedic,Same tagged era
entry,GARLIC,0.2,Middle: 0.2–<0.4,2390,10990,Undated OIA,Early-Vedic,At least one undated
entry,TODAY,0.2,Middle: 0.2–<0.4,7576,242,Early-Vedic,Undated OIA,At least one undated
