mode,cohort,held_out,concept,target,dardic_family_id,plains_family_id,category,families
entry,Score ≥0.4,False,SHIRT,Either language,7838,5415,"Dardic family, not Plains family",7838
entry,Score ≥0.4,False,MILK,Sindhi,3696,6391,"Dardic family, not Plains family",3696
entry,Score ≥0.4,False,MILK,Lahnda,3696,6391,"Dardic family, not Plains family",3696
entry,Score ≥0.4,False,MILK,Either language,3696,6391,"Dardic family, not Plains family",3696
entry,Score ≥0.4,False,GUEST,Sindhi,8956,8973,No attestation,
entry,Score ≥0.4,False,GUEST,Lahnda,8956,8973,"Plains family, not Dardic family",8973
entry,Score ≥0.4,False,GUEST,Either language,8956,8973,"Plains family, not Dardic family",8973
entry,Score ≥0.4,False,MY,Sindhi,9691,3873,"Plains family, not Dardic family",3873;3981
entry,Score ≥0.4,False,MY,Lahnda,9691,3873,"Plains family, not Dardic family",3873
entry,Score ≥0.4,False,MY,Either language,9691,3873,"Plains family, not Dardic family",3873;3981
entry,Score ≥0.4,False,STONE,Sindhi,11348,8857,"Plains family, not Dardic family",2820;8138;8857
entry,Score ≥0.4,False,STONE,Lahnda,11348,8857,Both focal families,11348;8857
entry,Score ≥0.4,False,STONE,Either language,11348,8857,Both focal families,11348;2820;8138;8857
entry,Score ≥0.4,False,RIVER,Sindhi,13415,6943,Other resolved families only,13325
entry,Score ≥0.4,False,RIVER,Lahnda,13415,6943,No attestation,
entry,Score ≥0.4,False,RIVER,Either language,13415,6943,Other resolved families only,13325
entry,Score ≥0.4,False,SHE,Sindhi,12815,972,No attestation,
entry,Score ≥0.4,False,SHE,Lahnda,12815,972,No attestation,
entry,Score ≥0.4,False,SHE,Either language,12815,972,No attestation,
entry,Score ≥0.4,False,KNEE,Sindhi,3243,4272,"Plains family, not Dardic family",4272;5195
entry,Score ≥0.4,False,KNEE,Lahnda,3243,4272,"Plains family, not Dardic family",4272
entry,Score ≥0.4,False,KNEE,Either language,3243,4272,"Plains family, not Dardic family",4272;5195
entry,Score ≥0.4,False,WORM,Sindhi,3438,3193,Both focal families,3193;3438
entry,Score ≥0.4,False,WORM,Lahnda,3438,3193,No attestation,
entry,Score ≥0.4,False,WORM,Either language,3438,3193,Both focal families,3193;3438
entry,Score ≥0.4,False,BRAIN,Sindhi,9926,4197,"Dardic family, not Plains family",9712;9926
entry,Score ≥0.4,False,BRAIN,Lahnda,9926,4197,Other resolved families only,9712
entry,Score ≥0.4,False,BRAIN,Either language,9926,4197,"Dardic family, not Plains family",9712;9926
entry,Score ≥0.4,False,PRICE,Sindhi,10257,6622,"Dardic family, not Plains family",10257;9475
entry,Score ≥0.4,False,PRICE,Lahnda,10257,6622,"Dardic family, not Plains family",10257;10373;9475
entry,Score ≥0.4,False,PRICE,Either language,10257,6622,"Dardic family, not Plains family",10257;10373;9475
entry,Score ≥0.4,False,SICKLE,Sindhi,100,6260,"Plains family, not Dardic family",6260
entry,Score ≥0.4,False,SICKLE,Lahnda,100,6260,"Plains family, not Dardic family",6260
entry,Score ≥0.4,False,SICKLE,Either language,100,6260,"Plains family, not Dardic family",6260
entry,Score ≥0.4,False,HEAVY,Sindhi,1962,9465,Other resolved families only,4209
