ID,Language_ID,Form,Gloss,Tags,entry_family_id
1019-3,Indo-Aryan,ākrōśana,scolding,n BHSk,1019
10190,Indo-Aryan,múṇṭati,"crushes, grinds",,10190
10191,Indo-Aryan,muṇḍa,"shaved, bald, lopped; hornless; blunt",MBh VarBr̥S Kathās Epic Classical Medieval,10191
10194,Indo-Aryan,muṇḍayati,shaves,Pañcat Classical,10194
10196,Indo-Aryan,*mutta,defective,,10196
10196-2,Indo-Aryan,*muttʰa-,,,10196
10196-3,Indo-Aryan,*muttʰara-,,,10196
10196-4,Indo-Aryan,*munda,,,10196
10196-5,Indo-Aryan,*munna,,MBh Epic,10196
10196-6,Indo-Aryan,*mōttʰara-,,,10196
10196-7,Indo-Aryan,*mōdda-,,,10196
10196-8,Indo-Aryan,*mōddʰa,,,10196
10197,Indo-Aryan,*muttʰa,lump,,10197
10197-2,Indo-Aryan,*muttʰara-,,,10197
10197-3,Indo-Aryan,*mōttʰara-,,,10197
10197-4,Indo-Aryan,*mōdda-,,,10197
10198,Indo-Aryan,mudgá,the bean Phaseolus mungo,m VS Early-Vedic,10198
10199,Indo-Aryan,mudgara,mallet,MBh Epic,10199
10199-2,Indo-Aryan,*mōdgara,,,10199
102,Indo-Aryan,aŋkana,marking; branding,adj Nir Mit Early-Vedic,102
10202,Indo-Aryan,mudrayati,seals,Hariv Classical,10202
10203,Indo-Aryan,mudrā́,"seal, signet-ring",f MBh Epic,10203
10208,Indo-Aryan,*munāla,pheasant,,10208
1020b,Indo-Aryan,*ākṣapāṭa,reaped rice (i.e. dried on the enclosure or platform),,1020b
1021,Indo-Aryan,*ākṣaya,dwelling place,,1021
10211,Indo-Aryan,*murati,"crushes, rubs",,10211
10211-2,Indo-Aryan,*mulati,,,10211
10212,Indo-Aryan,*murati,coagulates,,10212
10212-2,Indo-Aryan,*mōrayati,,,10212
10214,Indo-Aryan,muralī,"flute, pipe",f lex,10214
10216,Indo-Aryan,muṣ,stealing; theft,MBh MW Epic,10216
10217,Indo-Aryan,muṣati,steals,MBh Epic,10217
10217-2,Indo-Aryan,*muṣakkati,steals,ext:kk,10217-2
10218,Indo-Aryan,muṣká,"testicle, scrotum",m RV Early-Vedic,10218
10219,Indo-Aryan,*muṣkapuṭikā,scrotum,,10219
10220,Indo-Aryan,muṣṭa,stolen,Kāv Classical,10220
10221,Indo-Aryan,muṣṭí,"clenched hand, fist; handful",m RV ŚBr Early-Vedic,10221
10222,Indo-Aryan,muṣyatē,is robbed,MBh Epic,10222
10223,Indo-Aryan,músala,pestle; club,m AV Mn Early-Vedic Epic,10223
10223-2,Indo-Aryan,*muṣala,,,10223
10226,Indo-Aryan,musta,,m,10226
10226-2,Indo-Aryan,*mōsta,,,10226
10227,Indo-Aryan,*muss,"smile, sob",,10227
10227-2,Indo-Aryan,*mussakk-,"smile, sob",ext:kk,10227-2
10230,Indo-Aryan,múhyati,"goes astray, is bewildered",RV Early-Vedic,10230
10231,Indo-Aryan,mū́ka,,,10231
10231-2,Indo-Aryan,*mūga,,,10231
10231-3,Indo-Aryan,*mukka-,,,10231
10231-4,Indo-Aryan,*mukkara,,,10231
10231-5,Indo-Aryan,*mugga,,,10231
10231-6,Indo-Aryan,*muŋga,,,10231
10231-7,Indo-Aryan,*mōkka,,,10231
10231-8,Indo-Aryan,*mōgga,,,10231
10232,Indo-Aryan,mūḍʰá,stupified; stupid; gone astray,AV Mn R Early-Vedic Epic,10232
10233,Indo-Aryan,mūta,basket; *bundle,m TBr Early-Vedic,10233
10233-2,Indo-Aryan,mūṭa,,,10233
10233-3,Indo-Aryan,*muṭṭa-,,,10233
10233-4,Indo-Aryan,*mūṭʰa,,,10233
10233-5,Indo-Aryan,*muṭṭʰa-,,,10233
10233-6,Indo-Aryan,mōṭa,bundle,Divyāv Classical,10233
10233-7,Indo-Aryan,*mōṭṭa-,,,10233
10233-8,Indo-Aryan,*mōṭʰa-,,,10233
10234,Indo-Aryan,mū́tra,urine,n AV Early-Vedic,10234
10237,Indo-Aryan,mūtramārga,urethra,m Suśr Classical,10237
10239,Indo-Aryan,*mūtriya,pertaining to urine,,10239
1024,Indo-Aryan,*ākṣalati,flows,,1024
1024-2,Indo-Aryan,*ākṣālayati,causes to flow,,1024
10240,Indo-Aryan,mū́rcʰati,becomes solid,AV Early-Vedic,10240
10243,Indo-Aryan,*mūrṇa,coagulated,,10243
10245,Indo-Aryan,mū́rti,"any solid body; figure; image, idol",f Up MBh Kāv Epic Classical,10245
10247,Indo-Aryan,mūrdʰán,"cranium, head, top, chief, beginning",m RV Early-Vedic,10247
1025,Indo-Aryan,ākṣika,the tree Morinda tinctoria,m lex,1025
10250,Indo-Aryan,mū́la,root,AV RV Early-Vedic,10250
10250-2,Indo-Aryan,*mūḍa,,,10250
10251,Indo-Aryan,mūlakapaṇa,bunch of radishes,m Pāṇ Epic,10251
10254,Indo-Aryan,mū́lā,17th or 19th lunar mansion,f,10254
10257,Indo-Aryan,mūlya,"original value, price; capital",n Mn Kathās Epic Medieval,10257
10257-2,Indo-Aryan,*mūliya,,,10257
10257-3,Indo-Aryan,*mūḍiya,,,10257
10258,Indo-Aryan,mūṣa,,m,10258
10258-2,Indo-Aryan,mū́ṣika,"rat, mouse",m Gaut Early-Vedic,10258
1026,Indo-Aryan,ākṣipati,"throws down, takes away; puts into",MBh Suśr Epic Classical,1026
1026-2,Indo-Aryan,ākṣipta,,MBh Epic,1026
1026-3,Indo-Aryan,*ākṣipyati,,,1026
10261,Indo-Aryan,*mūṣala,muscle,,10261
10264,Indo-Aryan,mr̩gá,"wild animal, deer",m RV Early-Vedic,10264
10264-2,Indo-Aryan,mr̩gī,doe,f R Epic,10264
10264-3,Indo-Aryan,*mr̩gā,,,10264
10269,Indo-Aryan,mr̩gayā́,hunting,f Mn Epic,10269
10270,Indo-Aryan,*mr̩garūpa,animal,,10270
10271,Indo-Aryan,*mr̩gasūkara,wild boar,,10271
10272,Indo-Aryan,*mr̩gahana,act of hunting,,10272
10273,Indo-Aryan,*mr̩gahanaka,hunter,,10273
10274,Indo-Aryan,*mr̩gākāra,shaped like a deer,,10274
10275,Indo-Aryan,*mr̩ñjati,rubs,RV Early-Vedic,10275
10276,Indo-Aryan,mr̩ṇā́ti,crushes,AV Early-Vedic,10276
10276-2,Indo-Aryan,mūrṇá,,,10276
10276-3,Indo-Aryan,*mr̩ṇṇa,,,10276
10278,Indo-Aryan,mr̩tá,dead; death,RV MBh Early-Vedic Epic,10278
10279,Indo-Aryan,mr̩taka,corpse,m MBh Epic,10279
10280,Indo-Aryan,mr̩tamātr̩ka,one whose mother is dead,Kathās Medieval,10280
10286,Indo-Aryan,mŕ̩ttikā,"earth, clay",f VS Early-Vedic,10286
10287,Indo-Aryan,*mr̩ttya,earth,,10287
10288,Indo-Aryan,mr̩tyú,death,m RV Early-Vedic,10288
1029,Indo-Aryan,*ākṣuṇṇa,pierced,,1029
10292,Indo-Aryan,mr̩dú,soft; weak; slow,VS AV MBh Early-Vedic Epic,10292
10293,Indo-Aryan,mr̩dulá,"soft, tender, mild",BhP Medieval,10293
10294,Indo-Aryan,mr̩ddʰá,forsaken,MaitrS Early-Vedic,10294
10295,Indo-Aryan,mr̩dyatē,"is crushed, is oppressed",MBh Epic,10295
10297,Indo-Aryan,*mr̩śyatē,is rubbed,,10297
10298,Indo-Aryan,mŕ̩ṣā,in vain; falsely,RV AV Early-Vedic,10298
10299,Indo-Aryan,mr̩ṣṭá,"rubbed, washed, pure; prepared, savoury; sweet, pleasant",RV R MBh Early-Vedic Epic,10299
10299-2,Indo-Aryan,*mr̩ṣṭar-,"rubbed, washed, pure; prepared, savoury; sweet, pleasant",ext:r,10299-2
103,Indo-Aryan,aŋkapāli,embrace,f lex,103
103-2x,Indo-Aryan,ikā,embrace,f lex,103
10301,Indo-Aryan,mḗkʰalā,"girdle; band, fillet",f AV lex Early-Vedic,10301
10302,Indo-Aryan,mēgʰá,"cloud, rain",m RV Early-Vedic,10302
10304,Indo-Aryan,mḗgʰya,being in or coming from a cloud,VS Early-Vedic,10304
10304-2,Indo-Aryan,*mēgʰiya,,,10304
10305,Indo-Aryan,*mēŋga,defective,,10305
10306,Indo-Aryan,*mēcca,defective,,10306
10306-2,Indo-Aryan,*mēñca,,,10306
10308,Indo-Aryan,*mēṭṭa,lump,,10308
10308-2,Indo-Aryan,*mēṇḍa-,,,10308
1031,Indo-Aryan,ā́kṣēti,"abides, dwells in",RV Early-Vedic,1031
10310,Indo-Aryan,mēṇḍʰa,ram,,10310
