concept,group,unit,languages,families,category,unresolved_records,excluded_loan_records
RIVER,plains,sind1272,Sindhi,13325,Other families only,0,0
RIVER,plains,surg1246,Surgujia,6943;7047,One focal + other families,0,0
RIVER,plains,surj1235,Surjapuri,,No resolved family,0,1
RIVER,plains,thar1284,Sunha Tharu,,No resolved family,1,0
RIVER,plains,vaag1238,Vaagri Boli,,No resolved family,1,0
RIVER,plains,vasa1239,Vasavi,,No resolved family,4,0
RIVER,plains,wadi1248,Wadiyara Koli,,No resolved family,2,0
RIVER,plains,wagd1238,Wagri,6943,Plains-associated family only,0,0
UNRIPE,dardic,dame1241,Dameli,1236,Dardic-associated family only,0,0
UNRIPE,dardic,gowr1239,Gowro,7563,Other families only,0,0
UNRIPE,dardic,indu1241,Indus Kohistani,2613;7563,One focal + other families,1,0
UNRIPE,dardic,kala1372,Indo-Aryan Kalasha,1236,Dardic-associated family only,1,0
UNRIPE,dardic,kala1373,Bashkarik,1236,Dardic-associated family only,0,0
UNRIPE,dardic,kash1277,Kashmiri,1236;2613,Both focal families,0,0
UNRIPE,dardic,khow1242,Khowar,1236,Dardic-associated family only,1,0
UNRIPE,dardic,nort2666,Pashai,,No resolved family,1,0
UNRIPE,dardic,phal1254,Palula,1236,Dardic-associated family only,0,0
UNRIPE,dardic,shin1264,Shina,1236,Dardic-associated family only,0,0
UNRIPE,dardic,shum1235,Shumashti,1236,Dardic-associated family only,0,0
UNRIPE,dardic,tira1253,Tirahi,1236,Dardic-associated family only,0,0
UNRIPE,plains,awad1243,Awadhi,2613,Plains-associated family only,0,0
UNRIPE,plains,beng1280,Bengali,2613;6875,One focal + other families,0,0
UNRIPE,plains,chit1274,Chitwania Tharu,2613,Plains-associated family only,0,0
UNRIPE,plains,dang1260,Dangaura Tharu,2613,Plains-associated family only,0,0
UNRIPE,plains,east2316,Morangia Tharu,2613,Plains-associated family only,0,0
UNRIPE,plains,guja1252,Gujarati,2613,Plains-associated family only,0,0
UNRIPE,plains,hind1269,Hindi-Urdu,2613;4012,One focal + other families,0,0
UNRIPE,plains,kach1277,Kutchi,2613,Plains-associated family only,0,0
UNRIPE,plains,mait1250,Maithili,2613,Plains-associated family only,0,0
UNRIPE,plains,mara1378,Marathi,14114;2613,One focal + other families,0,0
UNRIPE,plains,oriy1255,Odia,2613,Plains-associated family only,0,0
UNRIPE,plains,panj1256,Punjabi,1340,Other families only,0,0
UNRIPE,plains,rana1246,Rana Tharu,2613,Plains-associated family only,0,0
UNRIPE,plains,sind1272,Sindhi,413,Other families only,0,0
UNRIPE,plains,wadi1248,Wadiyara Koli,,No resolved family,1,0
UNRIPE,plains,west2386,Lahnda,2613,Plains-associated family only,0,0
SOUR,dardic,brok1247,Brokskat,4850,Dardic-associated family only,0,0
SOUR,dardic,dame1241,Dameli,4850,Dardic-associated family only,0,0
SOUR,dardic,gawa1247,Gawarbati,12504;8182,Other families only,0,0
SOUR,dardic,gowr1239,Gowro,4850,Dardic-associated family only,1,0
SOUR,dardic,gran1245,Grangali,,No resolved family,1,0
SOUR,dardic,kala1372,Indo-Aryan Kalasha,4850,Dardic-associated family only,0,0
SOUR,dardic,kala1373,Bashkarik,4850,Dardic-associated family only,0,0
SOUR,dardic,kash1277,Kashmiri; Poguli,4850,Dardic-associated family only,3,0
SOUR,dardic,khow1242,Khowar,12504,Other families only,0,0
SOUR,dardic,nort2666,Pashai,12504;4584;4850,One focal + other families,0,0
SOUR,dardic,phal1254,Palula,4850;5938,One focal + other families,1,0
SOUR,dardic,savi1242,Sauji,12504,Other families only,0,0
SOUR,dardic,shin1264,Shina,4850,Dardic-associated family only,2,0
SOUR,dardic,shum1235,Shumashti,4850,Dardic-associated family only,1,0
SOUR,dardic,torw1241,Torwali,4850,Dardic-associated family only,2,0
SOUR,dardic,wota1240,Wotapuri,8182,Other families only,0,0
SOUR,plains,assa1263,Assamese,5808,Other families only,0,0
SOUR,plains,beng1280,Bengali,3777;4850;5617;579,Both focal families,2,0
SOUR,plains,bhoj1244,Bhojpuri,3777,Plains-associated family only,0,0
SOUR,plains,bish1244,Bishnupriya Manipuri,,No resolved family,6,0
SOUR,plains,chit1274,Chitwania Tharu,579,Other families only,0,0
SOUR,plains,dang1260,Dangaura Tharu,579,Other families only,0,0
SOUR,plains,dhat1238,Dhatki,3777,Plains-associated family only,0,0
SOUR,plains,east2316,Morangia Tharu,3777,Plains-associated family only,0,0
SOUR,plains,guja1252,Gujarati,3777;579,One focal + other families,0,0
SOUR,plains,hajo1238,Hajong,,No resolved family,12,0
SOUR,plains,halb1244,Halbi,,No resolved family,1,0
SOUR,plains,hind1269,Hindi-Urdu,4850;579,One focal + other families,1,1
SOUR,plains,kach1277,Kutchi,3777,Plains-associated family only,0,0
SOUR,plains,konk1267,Konkani,579;579-2,Other families only,0,0
SOUR,plains,mait1250,Maithili,,No resolved family,0,1
SOUR,plains,mara1378,Marathi,3777,Plains-associated family only,1,0
SOUR,plains,oriy1255,Odia,5617;579,Other families only,0,0
SOUR,plains,panj1256,Punjabi,3777,Plains-associated family only,0,0
SOUR,plains,rajb1243,Rajbanshi,3777,Plains-associated family only,0,0
SOUR,plains,rana1246,Rana Tharu,3777,Plains-associated family only,0,0
SOUR,plains,rang1265,Kamtapuri,3777;5808,One focal + other families,0,0
SOUR,plains,sind1272,Sindhi,3777;5617,One focal + other families,0,0
SOUR,plains,surj1235,Surjapuri,3777,Plains-associated family only,0,0
SOUR,plains,vaag1238,Vaagri Boli,,No resolved family,1,0
SOUR,plains,wadi1248,Wadiyara Koli,2668,Other families only,0,0
SOUR,plains,west2386,Lahnda,3777,Plains-associated family only,0,0
