chart,view,concept,unit,group,latitude,longitude,representative_language,categories,values,families
dardic-asymmetric,IRON,IRON,phal1254,dardic,35.51,71.84,Phal,"[""cīmara"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",4842a
dardic-asymmetric,IRON,IRON,shin1264,dardic,34.65,75.29,Sh,"[""cīmara"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",4842a
dardic-asymmetric,IRON,IRON,shum1235,dardic,34.48,70.57,Shum,"[""cīmara"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",4842a
dardic-asymmetric,IRON,IRON,torw1241,dardic,35.21,72.55,Tor,"[""cīmara"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",4842a
dardic-asymmetric,IRON,IRON,wota1240,dardic,34.7,70.86,Wot,"[""cīmara"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",4842a
dardic-asymmetric,IRON,IRON,assa1263,plains,26.7509,94.2037,A,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",11158
dardic-asymmetric,IRON,IRON,avan1234,plains,33.994201,72.483087,awan,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",11158
dardic-asymmetric,IRON,IRON,awad1243,plains,27.59,82.47,Aw,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",11158
dardic-asymmetric,IRON,IRON,bagh1251,plains,24.482879,81.356341,bagheli_lakshman,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,IRON,IRON,beng1280,plains,23.471,88.5565,B,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",11158
dardic-asymmetric,IRON,IRON,bhoj1244,plains,26.46,84.82,Bhoj,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",11158
dardic-asymmetric,IRON,IRON,biha1245,plains,24.68,87.5,Bi,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",11170;3264
dardic-asymmetric,IRON,IRON,braj1242,plains,26.48,78.08,Brj,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,IRON,IRON,bund1253,plains,25.008376,79.564258,bundeli_atarra,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,IRON,IRON,chha1249,plains,21.225068,82.028298,NDu,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,IRON,IRON,dhun1238,plains,26.696403,75.972699,dhundari_bamore,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,IRON,IRON,guja1252,plains,22.69,71.1,G,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",11158;11171;11173;4866;6121
dardic-asymmetric,IRON,IRON,guja1253,plains,34.043002,73.225443,Goj,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,IRON,IRON,halb1244,plains,20.31,81.37,hal,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,IRON,IRON,hary1238,plains,28.91568,76.37168,kaithal,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,IRON,IRON,hind1269,plains,28.7041,77.1025,H,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",11158
dardic-asymmetric,IRON,IRON,kach1277,plains,23.83,69.0,kcch,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",6121
dardic-asymmetric,IRON,IRON,kana1281,plains,27.0437956,79.8951742,Kannauji-Central,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,IRON,IRON,khet1238,plains,30.48,70.28,khet,"[""cīmara"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",6121
