chart,view,concept,unit,group,latitude,longitude,representative_language,categories,values,families
dardic-language-evidence,MOUSTACHE,MOUSTACHE,torw1241,dardic,35.21,72.55,Tor,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[1, 0.0, 0.0, 0.0, 0.0, 0.0]",9083
dardic-language-evidence,MOUSTACHE,MOUSTACHE,usho1238,dardic,35.139395,72.67756,Ush,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[1, 0.0, 0.0, 0.0, 0.0, 0.0]",9083
dardic-language-evidence,MOUSTACHE,MOUSTACHE,assa1263,plains,26.7509,94.2037,A,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 0.0, 1, 0.0]",4203;6250
dardic-language-evidence,MOUSTACHE,MOUSTACHE,avan1234,plains,33.994201,72.483087,awan,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 1, 0.0, 0.0, 0.0, 0.0]",10180
dardic-language-evidence,MOUSTACHE,MOUSTACHE,awad1243,plains,27.59,82.47,Aw,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 1, 0.0, 0.0, 0.0, 0.0]",10180
dardic-language-evidence,MOUSTACHE,MOUSTACHE,beng1280,plains,23.471,88.5565,B,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 0.0, 1, 0.0]",4203
dardic-language-evidence,MOUSTACHE,MOUSTACHE,guja1252,plains,22.69,71.1,G,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 1, 0.0, 0.0]",10180;13725
dardic-language-evidence,MOUSTACHE,MOUSTACHE,hind1269,plains,28.7041,77.1025,H,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 1, 0.0, 0.0, 0.0, 0.0]",10180
dardic-language-evidence,MOUSTACHE,MOUSTACHE,khet1238,plains,30.48,70.28,khet,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 1, 0.0, 0.0, 0.0, 0.0]",10180
dardic-language-evidence,MOUSTACHE,MOUSTACHE,konk1267,plains,15.2993,74.124,Ko,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 0.0, 1, 0.0]",12659
dardic-language-evidence,MOUSTACHE,MOUSTACHE,mara1378,plains,18.5204,73.8567,M,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 0.0, 0.0, 1]",
