head_id,family_id,head,family,rule
10877-2,10877,*lakkʰa,*lakka,explicitly linked numbered CDIAL subhead
10877-3,10877,laŋka,*lakka,explicitly linked numbered CDIAL subhead
10877-4,10877,laŋga,*lakka,explicitly linked numbered CDIAL subhead
10878-2,10878,*laŋka-,*lakka,explicitly linked numbered CDIAL subhead
10907-2,10907,*lañc,*lacc,explicitly linked numbered CDIAL subhead
10909-2,10909,lajjāpayati,lajjátē,explicitly linked numbered CDIAL subhead
10913-2,10913,lajjirī,*lajjira,explicitly linked numbered CDIAL subhead
10916-2,10916,lāṭayati,laṭati,explicitly linked numbered CDIAL subhead
10916-3,10916,*laṭyatē,laṭati,explicitly linked numbered CDIAL subhead
10917-10,10917,*laṇḍʰa,laṭṭa,explicitly linked numbered CDIAL subhead
10917-2,10917,*laṭṭʰa-,laṭṭa,explicitly linked numbered CDIAL subhead
10917-3,10917,*laṭṭʰara,laṭṭa,explicitly linked numbered CDIAL subhead
10917-4,10917,laḍḍa,laṭṭa,explicitly linked numbered CDIAL subhead
10917-5,10917,*laḍḍʰa,laṭṭa,explicitly linked numbered CDIAL subhead
10917-6,10917,*laṇṭa,laṭṭa,explicitly linked numbered CDIAL subhead
10917-7,10917,*laṇṭʰa,laṭṭa,explicitly linked numbered CDIAL subhead
10917-8,10917,*laṇḍa,laṭṭa,explicitly linked numbered CDIAL subhead
10917-9,10917,*laṇḍara,laṭṭa,explicitly linked numbered CDIAL subhead
10918-2,10918,*laṭṭʰa-,*laṭṭa,explicitly linked numbered CDIAL subhead
10918-3,10918,*laṇṭʰa-,*laṭṭa,explicitly linked numbered CDIAL subhead
10918-4,10918,*laṇḍa-,*laṭṭa,explicitly linked numbered CDIAL subhead
10918-5,10918,*latta-,*laṭṭa,explicitly linked numbered CDIAL subhead
10918-6,10918,*ladda-,*laṭṭa,explicitly linked numbered CDIAL subhead
10918-7,10918,*liṭṭa-,*laṭṭa,explicitly linked numbered CDIAL subhead
10918-8,10918,*lidda-,*laṭṭa,explicitly linked numbered CDIAL subhead
10920-2,10920,*laḍḍ-,*laḍ,explicitly linked numbered CDIAL subhead
10920-3,10920,*laḍʰ,*laḍ,explicitly linked numbered CDIAL subhead
10922-2,10922,lāḍayati,láḍati,explicitly linked numbered CDIAL subhead
10924-2,10924,*laḍḍikka,*laḍikka,explicitly linked numbered CDIAL subhead
10927-2,10927,laṇḍa,*laḍḍu,explicitly linked numbered CDIAL subhead
10928-2,10928,latikā,latā,explicitly linked numbered CDIAL subhead
10930-2,10930,*lattara,*latta,explicitly linked numbered CDIAL subhead
10930-3,10930,*lattʰara,*latta,explicitly linked numbered CDIAL subhead
10930-4,10930,*laddʰara,*latta,explicitly linked numbered CDIAL subhead
10930-5,10930,*lanta,*latta,explicitly linked numbered CDIAL subhead
10930-6,10930,*lantara,*latta,explicitly linked numbered CDIAL subhead
10930-7,10930,*landa-,*latta,explicitly linked numbered CDIAL subhead
10930-8,10930,*latra,*latta,explicitly linked numbered CDIAL subhead
10931-2,10931,*lattʰā,*lattā,explicitly linked numbered CDIAL subhead
10933-2,10933,*landa-,*ladda,explicitly linked numbered CDIAL subhead
