mode,concept,score,band,diagnostic,separation,support_factor,dardic_own,plains_own,crossover,dardic_family,plains_family
entry,NECK,0.347854,Middle: 0.2–<0.4,Focal support below five votes,0.359848,0.9666666666666666,0.5,0.2196969696969697,0,maṇi,*gʰicca
entry,SPLEEN,0.347727,Middle: 0.2–<0.4,Focal support below five votes,0.434659,0.8,0.5,0.6818181818181818,0.3125,śyāmá,plīhán
entry,CALF,0.345445,Middle: 0.2–<0.4,Focal support below five votes,0.398591,0.8666666666666666,0.71875,0.2549019607843137,0.17647058823529413,vatsá,vatsarūpa
entry,NEIGHBOUR,0.343636,Middle: 0.2–<0.4,Focal support below five votes,0.572727,0.6,0.6,0.6363636363636364,0.09090909090909091,*grāmārdʰa,prativēśya
entry,STEAL,0.343636,Middle: 0.2–<0.4,Focal support below five votes,0.572727,0.6,0.6,0.5454545454545454,0,*apalīyatē,cōráyati
entry,WOOD,0.334444,Middle: 0.2–<0.4,Focal support below five votes,0.358333,0.9333333333333332,0.2333333333333333,0.625,0.14166666666666666,dā́ru,kāṣṭʰá
entry,POST,0.331333,Middle: 0.2–<0.4,Focal support below five votes,0.517708,0.64,0.8666666666666667,0.2,0.03125,stʰū́ṇā,*kʰuṭṭa
entry,DAY BEFORE YESTERDAY,0.33,Middle: 0.2–<0.4,Focal support below five votes,0.55,0.6,0.6,0.5,0,*ātr̩tīyam,paraśvas
entry,WIDOW,0.329583,Middle: 0.2–<0.4,Focal support below five votes,0.470833,0.7,0.35,0.7916666666666666,0.2,*kāŋkunikā,*raṭṭa
entry,WHITE,0.329029,Middle: 0.2–<0.4,"Supported, low crossover, weaker-side share <50%",0.329029,1,0.30952380952380953,0.3793040293040293,0.030769230769230767,pā́ṇḍara,dʰavalá
entry,BRING,0.325758,Middle: 0.2–<0.4,Focal support below five votes,0.542929,0.6,0.3333333333333333,0.8636363636363636,0.1111111111111111,gr̩bʰāyáti,ā́nayati
entry,LATE,0.325714,Middle: 0.2–<0.4,Focal support below five votes,0.542857,0.6,0.8,0.42857142857142855,0.14285714285714285,cirá,*ḍʰila
entry,VEIN,0.325455,Middle: 0.2–<0.4,Focal support below five votes,0.542424,0.6,0.6,0.4848484848484848,0,*snāru,nāḍī́
entry,YOUNG GOAT (KID),0.325,Middle: 0.2–<0.4,Focal support below five votes,0.40625,0.8,0.5714285714285714,0.5,0.2589285714285714,cʰagalá,*paṣṭʰa
entry,SON,0.324921,Middle: 0.2–<0.4,"Supported, crossover >10 points",0.324921,1,0.626984126984127,0.26999999999999996,0.2471428571428571,putrá,*biḍḍa
