Child_ID	Parent_ID	Kind	Rank	Pos	Source	Note
f_3arrq655unzjg	f_2ph5xi2cuqqng	variant	1			
f_3ascirwmhn6g4	1962	reflex	1			
f_3asjeysvxz64e	9828	reflex	1			
f_3aveq2cgdfxpy	14029	reflex	1			
f_3awx3d2xh5eoe	11743	reflex	1			
f_3b2myfujhwymy	3594	reflex	1			
f_3b3cxusphdfza	9467	reflex	1			
f_3b4q6bsdakn3q	6142	reflex	1			
f_3bapkyszeklwy	11168	reflex	1			
f_3bbdgad4d2eps	10948	reflex	1			
f_3bbimyg4rubbo	13509	reflex	1			
f_3bdeud4lrtgzw	11348	reflex	1			
f_3bdubbja33ud2	8335	reflex	1			
f_3bet4msgmqah4	10104	reflex	1			
f_3bfpjvybd5uzs	6118	reflex	1			
f_3bkosjq2nap4m	13736	reflex	1			
f_3bla6axq52sjg	4889	reflex	1			
f_3bmp3csdvoqju	8218	reflex	1			
f_3bxl66nny7h5a	5399	reflex	1			
f_3cf4xyavwesle	10792	reflex	1			
f_3cfhg7lvld6fy	2144	reflex	1			
f_3clfprhwnerhi	11906	reflex	1			
f_3cm7hb5ovhmo6	7607	reflex	1			
f_3csva5epethlc	10883	reflex	1			
f_3ctjczvbaiwgc	3857	reflex	1			
f_3cwqiqkayoa7s	f_s2kssaz5iw5ge	variant	1			
f_3cx5oqy3st5ni	6141	reflex	1			
f_3d5t6gukd46ly	5798	reflex	1			
f_3d7sjvzte7yiq	10085	reflex	1			
f_3de4scat2zxkk	126	reflex	1			
f_3dis77cvz2ute	3865	reflex	1			
f_3djirhvcmmh2s	2629	reflex	1			
f_3djsqmonxpuhc	6983	reflex	1			
f_3dkq6jojyihrm	f_qq3qcioh7ly34	variant	1			
f_3dmhempvuti5w	6849	reflex	1			
f_3drpzth3l74vm	4398	reflex	1			
f_3ducnndirswaq	f_j7erdy53crjvo	variant	1			
f_3dvcjjydmzy2g	3455	reflex	1			
f_3dvg7ykgle4ek	2712	reflex	1			
f_3dychh5fhcowi	10323	reflex	1			
