gloss	plural	suffix	plural_stress_from_right	plural_outcome	singulars	singular_stress	singular_ids	plural_id	family_ids	plural_description
bridge	ɖaŋé:	other	1	stress-marked	"[""ɖaŋó:""]"	[1]	"[""f_k6lusr7u6osf4""]"	f_a4eke4atbh2w2	[]	
father	bábe	-e	2	stress-marked	"[""bábo""]"	[2]	"[""f_vr57jlhqjqrbg""]"	f_faafle6drsa5y	"[""9209""]"	m.pl
marriage	kʌ́ʒe	-e	2	stress-marked	"[""kʌ́ʃ""]"	[1]	"[""f_mzoe27hbfiiee""]"	f_e5g44xfsyj2va	[]	f.pl
maternal uncle’s wife	phʌpyé:	other	1	stress-marked	"[""phʌpi:""]"	"[""""]"	"[""f_bg7qlrtzqaw32""]"	f_evfsepjdpphca	[]	f.pl
orphan	ʒʌró:e	-e	2	stress-marked	"[""ʒʌró:""]"	[1]	"[""f_fnkuehjwecepm""]"	f_qrhb3o3dex4uc	[]	m.pl
people	ʤʌ́keɦ	-eh/-eɦ	2	stress-marked	"[""ʤʌ́k""]"	[1]	"[""f_fsywtcivnvyjk""]"	f_22tosiwomum3g	[]	
wife’s brother	ʃeiryé	-e	1	stress-in-vowel-sequence	"[""ʃeirí:""]"	[1]	"[""f_viceofat7mgqg""]"	f_bnm7fo262lr4y	[]	
ass	ʐʌkúɳi	-i	2	stress-marked	"[""ʐʌkúɳ"", ""sṍʈʂiʐʌkúɳ""]"	"[1, """"]"	"[""f_74bkiyof6gw76"", ""f_3eymkbkcgcosw""]"	f_sx4euq4xe3awk	[]	m.pl
monkey	ʃʌdyé:	other	1	stress-marked	"[""ʃʌdí:""]"	[1]	"[""f_hi65iloqnhqw2""]"	f_ydw4xjjmm4sn6	[]	
bed bug	phʌ́ʃe	-e	2	stress-marked	"[""phə́:ʃe"", ""phə́:ʃi"", ""phʌ́ʃi""]"	[2, 2, 2]	"[""f_wggjsgeff7wdq"", ""f_qj7r7l3jvu6bs"", ""f_glojxshnsfnic""]"	f_eufzr3asgvtsm	[]	
bitch	sṍʈʂiʃúŋi	-i		multiple-stress	"[""sṍʈʂiʃúŋ""]"	"[""""]"	"[""f_hrflrjho6chwe""]"	f_nhrnmq4upmgzq	[]	
boar	sú:re	-e	2	stress-marked	[]	[]	[]	f_dp4ssrhvxtquq	[]	
buffalo (he)	bí:romʌ́iʂe	-e		multiple-stress	"[""bí:romʌ́iʂ"", ""sṍʈʂimʌ́iʂ""]"	"["""", """"]"	"[""f_b3ihyxy7mftdo"", ""f_wmhs563dwihte""]"	f_pyosnbwhbdaog	[]	pl. (she
buffalo (he)	sṍʈʂimʌ́iʐi	-i		multiple-stress	"[""bí:romʌ́iʂ"", ""sṍʈʂimʌ́iʂ""]"	"["""", """"]"	"[""f_b3ihyxy7mftdo"", ""f_wmhs563dwihte""]"	f_n63ir53rpebp4	[]	
cage	takʃé:	other	1	stress-marked	"[""takʃá:""]"	[1]	"[""f_ydprjty2vqrgq""]"	f_4pcjn67efb2dm	[]	
cat	píʃe	-e	2	stress-marked	"[""píʃu""]"	[2]	"[""f_sxfthkg4cfxx4""]"	f_s6ywkq6xqp2nu	[]	male, pl
claw	nó:re	-e	2	stress-marked	[]	[]	[]	f_m6slbozdxsaba	[]	f.pl
cow	gáʋe	-e	2	stress-marked	"[""gá:ʋ""]"	[1]	"[""f_uis4oupb3v7xe""]"	f_p67c47ocrlk2a	[]	
crab	nɛzʌ́me	-e	2	stress-marked	"[""nɛzʌ́m""]"	[1]	"[""f_teqmoxosy5lwy""]"	f_klwkozc43j44c	[]	
crow	kórkuʦe	-e	3	stress-marked	"[""kórkus""]"	[2]	"[""f_fylgholqplcu4""]"	f_qne6kumtcolse	[]	
deer	ró:ŋse	-e	2	stress-marked	"[""ró:ŋs""]"	[1]	"[""f_jssd7focgul2o""]"	f_qnziq3ld4aq5w	[]	
dog	ʃúŋe	-e	2	stress-marked	"[""ʃúŋ""]"	[1]	"[""f_hmrl6kugz7eae""]"	f_vf3yxokaw3zju	[]	
earth worm	ʧh	other		unmarked	"[""ʧhí:mokrĩ́""]"	"[""""]"	"[""f_pscbvpdxzk5xe""]"	f_yicoqisu3pqme	[]	
egg	ʈhuléh	-eh/-eɦ	1	stress-marked	"[""ʈhú:l""]"	[1]	"[""f_s6k43ikowzeyq""]"	f_hkhfsiica2smk	[]	
fish	ʧhí:me	-e	2	stress-marked	"[""ʧhí:mo""]"	[2]	"[""f_apuiig7xv7mqu""]"	f_2fpesg7axljfo	[]	
frog	mʌɳóke	-e	2	stress-marked	[]	[]	[]	f_zueja7bqyxbkq	[]	
gnat ]; mosquito ] pl.	mũẽ; mũẽ	other		unmarked	[]	[]	[]	f_xj7msdddoutdy	[]	
goose	bulóe	-e	2	stress-in-vowel-sequence	[]	[]	[]	f_lqg27mm2cihp4	[]	mf.pl
hoof	khó:re	-e	2	stress-marked	"[""khó:r""]"	[1]	"[""f_a3tnz7mk5sn4e""]"	f_gqgsb6ecreb2m	[]	
horn	ʂíŋe	-e	2	stress-marked	"[""ʂíŋo""]"	[2]	"[""f_x2xpg5ctt4plk""]"	f_dx6unaabtwwq6	[]	m.pl
