ID	Language_ID	Form	Gloss	Native	Phonemic	Original	Cognateset	Description	Tags	Source	Etymology	Redirect	Status
f_52bc6qs4bkedy	Phal	aḍapʰā̌r	halfway	اڈپھار	aɖapʰaár	aḍaphaár			adv spatial	liljegren			unlinked
f_54ezihhat6k3u	Phal	dʰuyā̂ma	second; the other	دُھیامہ	dhujáama	dhuyáama			determiner	liljegren			unlinked
f_5527bvp6mdxow	Phal	ētʰē̌l	then, at that time, at such a time	ایتھیل	eetʰeél	eetheél			adv temporal demonstrative	liljegren			unlinked
f_552g77o73seae	Phal	lʰā̂ya	to find	لھایہ	lháaja	lháaya		Inflection: T (Prs): lhayáanu, (Pfv Masc Sg): láadu, lháadu, (Pfv Fem Sg): léedi, lhéedi, (Cv): lhayí, (Imp): lháay; Morphemic form: lhái-, láad-	verb tr Palula-verb-class-T	liljegren	lábhatē 'catches, takes' (T: 10948) ; labdha- 'taken, seized' (T: 10946)		
f_56ce4vgqoqs4i	Phal	pērō̂ṇ	shirt	پیروݨ	peeróoɳ	peeróoṇ		Inflection: a-decl (Obl, pl): -a	noun m Palula-noun-class-a	liljegren	paridhā́na- 'garment (esp. undergarment) (n)' (T: 7838)		
f_56h7xfp5mp7ei	Phal	qiāmát	judgement	قیامت	qjaamát, xjaamát	qiaamát		Inflection: i-decl (Obl): -í	noun f Palula-noun-class-i loanword loan:Arabic loan:Persian loan:Urdu	liljegren	Origin: Urdu (Persian/Arabic): qiyaamat		unlinked
f_5cacl4mrc2nd2	H	gʰaṇṭā	bell, clock, hour			ghaṇṭā	2:	(→ Sh. <i>găṇṭa</i> m. 'hour')	m	CDIAL			
f_5d5dxe7bp5jsm	Phal	trō̂ bʰiśá	sixty (lit. three twenties)	ترو بِھشہ	tróo bhiɕá	tróo bhišá			multiword-expression	liljegren			unlinked
f_5enifwxkmrr44	Phal	nisī̂	his; her; its (prox)	نِسی	nisíi	nisíi			pron demonstrative	liljegren			unlinked
f_5eynxrzontetc	Phal	gī̂	went (fem sg)	گی	ɡíi	gíi			verb intr	liljegren			unlinked
f_5ezozqihheh7e	Phal	pācʰambá	Thursday	پاچھمبہ	paatɕʰambá	paačhambá		Inflection: i-decl (Obl): -i	noun m Palula-noun-class-i loanword loan:Persian	liljegren	Origin: Persian: panǰ-šambih		unlinked
f_5fxangywov5si	Phal	palō̂	to steal, hide sth	پلو	palóo	palóo		Inflection: L:a (Prs): palaáanu, (Pfv): palóolu, (Cv): palaá, (Imp): palá; Morphemic form: pal-á-	verb tr Palula-verb-class-L-a	liljegren	*apalāyayati 'hides' (T: 447)		
f_5gk3xsw4hc7iq	Phal	kʰō̂	to eat	کھو	kʰóo	khóo		Inflection: L:a (Prs): khaáanu, (Pfv): khóolu, (Cv): khaá, (Imp): kha; Morphemic form: kha-	verb tr Palula-verb-class-L-a	liljegren	khā́dati 'chews, bites; eats' (T: 3865)		
f_5jttl56tlbqck	Phal	tā̂i	from there (rem); (from) that	تائیۡ	táaj	táai			adv spatial demonstrative	liljegren			unlinked
f_5k23udzcfa7lu	Phal	xośā̌n	happy	خوۡشان	xuɕaán	xošaán			adj indecl loanword loan:Persian loan:Urdu	liljegren	Origin: Urdu (Persian): xwaš, xuš		unlinked
f_5kembt3okd6ce	Phal	lā̂du	found (masc sg)	لادوۡ	láadu	láadu			verb tr	liljegren			unlinked
f_5lpi7m74kfwhm	Phal	rōṣíja	to become angry	روݜِجہ	rooʂídʑa	rooṣíǰa		Inflection: L:cons (Prs): rooṣiǰáanu, (Pfv): rooṣiǰílu, (Cv): rooṣiǰí; Morphemic form: rooṣíǰ-	verb intr Palula-verb-class-L-consonant	liljegren			unlinked
f_5ocroepyethbm	Phal	hujút	body	ہُجُت	hudʑút	huǰút		Inflection: i-decl (Obl, pl): -í	noun f Palula-noun-class-i loanword loan:Arabic loan:Urdu	liljegren	Origin: Urdu (Arabic): wujuud		unlinked
f_5ooa4n6h7ad6a	Phal	zarurí	necessity; importance	ضروریۡ	zarurí	zarurí			noun m loanword loan:Arabic loan:Persian loan:Urdu	liljegren	Origin: Urdu (Persian/Arabic): zaruurii		unlinked
f_5pa5qpeh3dezc	Sh	tam	swim			tam		schwimmen	dialect:Sh:gil:Gilgit	degener-shina2008[p. 305, glossary entry 21]	[Bur. tam dél-]		unlinked
f_5qbsxexybkp7i	Phal	jō̂	to be born, have [a child]; grow up	جو	dʑóo	ǰóo		Inflection: L:a (Prs): ǰaáanu, (Pfv): ǰóolu, (Cv): ǰaá; Morphemic form: ǰ-á-; Usage: Only exceptionally is the present tense used. If referring to an animal's birth, the same verb can also be used transitively.	verb intr Palula-verb-class-L-a	liljegren	jā́yatē 'is born; generates' (T: 5204) ; jātá- 'born; son (masc)' (T: 5182)		
f_5r36s4i2fpay2	Phal	jʰānō̂	to wake up	جھانو	dʑhaanóo	ǰhaanóo		Inflection: L:a (Prs): ǰhaanaáanu, (Pfv): ǰhaanóolu, (Cv): ǰhaanaá, (Imp): ǰhaaná; Morphemic form: ǰhaan-á-	verb intr Palula-verb-class-L-a	liljegren			unlinked
f_5r5yiplderk7c	Phal	pʰrayī̂tu	sent (masc sg)	پھرئِیتوۡ	pʰrajíito	phrayíitu			verb tr	liljegren			unlinked
f_5sz2b5druf7qq	Phal	ētanī̂	their; of those (rem)	ایتنی	eetaníi	eetaníi			pron demonstrative	liljegren			unlinked
f_5t7zez6ciunua	Phal	śilū̂k	story, tale	شِلُوک	ɕilúuk	šilúuk		Inflection: a-decl (Obl, pl): -a	noun m Palula-noun-class-a	liljegren	ślṓka- 'sound, hymn of praise; stanza (m)' (T: 12748)		
f_5vtx6kvdlbusw	Indo-ir												entry
f_5xnuvjzixwxhm	Sh	ṭyū́̃	cause to fart			ṭyuú~		zum Furzen bringen	dialect:Sh:gil:Gilgit	degener-shina2008[p. 310, glossary entry 15]			unlinked
f_5yjc7w3dvipyw	Phal	aninā̌m	these; them (prox acc)	انِنام	aninaám, aninjaám, anjaám	aninaám			pron demonstrative	liljegren			unlinked
f_5zyo7mu2h7doc	Phal	cóti	paw	چوۡتیۡ	tɕóti	čóti		Inflection: m-decl (Pl): -m	noun f Palula-noun-class-m	liljegren			unlinked
f_62hxwwtcxbwn6	Sh	ā́l	there			aál		dort	adv dialect:Sh:gil:Gilgit	degener-shina2008[p. 244, glossary entry 13]	[Bailey āli]		unlinked
f_65otzuklauzqa	Phal	musāfár	traveler	مُسافر	musaafár	musaafár		Inflection: aan-decl (Obl): -á, (Pl): -aán, (Pl obl): -aanúm	noun m Palula-noun-class-aan loanword loan:Arabic loan:Urdu	liljegren	Origin: Urdu (Arabic): musaafir		unlinked
f_65uvj6dgfdqic	Phal	ṭopí	cap	ٹوۡپیۡ	ʈopí	ṭopí		Inflection: a-decl (Pl): -á	noun f Palula-noun-class-a	liljegren			unlinked
f_675idfqpys4nq	Phal	lagayíja	to be put in, be put up, be spent, be needed	لگئجہ	laɡajídʑa	lagayíǰa		Inflection: L:cons (Prs): lagayiǰáanu, (Pfv): lagayiǰílu, (Cv): lagayiǰí; Morphemic form: lagáy-íǰ-	verb tr pass Palula-verb-class-L-consonant	liljegren			unlinked
f_6a2c6rvxwwlt4	Phal	śámbi	Saturday	شمبیۡ	ɕámbi	šámbi			noun f loanword loan:Persian	liljegren	Origin: Persian: šambih, šamba		unlinked
f_6andetkqqw5vw	Phal	muṣkā̌ṛ	crack, mouse (or snake) hole	مُݜکاڑ	muʂkaáɽ	muṣkaáṛ		Inflection: i-decl (Obl, pl): muṣkaṛí	noun f Palula-noun-class-i	liljegren			unlinked
