concept_id,concept,group,language_id,language,unit,form_id,form,gloss,head_id,head,family_id,family,status,source
1203,LONG,plains,Nimadi,Nimadi,nima1243,f_5ow7s4ik5zhry,lambo,long,,,,,unlinked,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 84, item 134, N-Sir-OBC]"
1203,LONG,plains,Nimadi,Nimadi,nima1243,f_qodmv5h25dx4k,lambo,long,,,,,unlinked,"vunnamatla-john-samuvel2012nimadi[Appendix A, printed p. 84, item 134, N-Kup-Dar]"
1203,LONG,plains,poth,Pahari-Pothwari,paha1251,f_w6sfp5g6fndgu,lamːã,long,,,,,unlinked,"lothers-lothers2010pahari[Appendix B.1, printed p. 181, item 134, MOS]"
1203,LONG,plains,poth,Pahari-Pothwari,paha1251,f_stk37bfgffjuo,lamã,long,,,,,unlinked,"lothers-lothers2010pahari[Appendix B.1, printed p. 181, item 134, GHO]"
1203,LONG,plains,poth,Pahari-Pothwari,paha1251,f_37ssevdhnbqhg,lamã,long,,,,,unlinked,"lothers-lothers2010pahari[Appendix B.1, printed p. 181, item 134, DEW]"
1203,LONG,plains,poth,Pahari-Pothwari,paha1251,f_lk7ujsc4yy544,lamã,long,,,,,unlinked,"lothers-lothers2010pahari[Appendix B.1, printed p. 181, item 134, AYU]"
1203,LONG,plains,poth,Pahari-Pothwari,paha1251,f_g4bcym6mx7cay,lamã,long,,,,,unlinked,"lothers-lothers2010pahari[Appendix B.1, printed p. 181, item 134, KOH]"
1203,LONG,plains,poth,Pahari-Pothwari,paha1251,f_6cuacoqtcrtny,lamã,long,,,,,unlinked,"lothers-lothers2010pahari[Appendix B.1, printed p. 181, item 134, NIL]"
1203,LONG,plains,poth,Pahari-Pothwari,paha1251,f_zbdpts4e24w5i,lamã,long,,,,,unlinked,"lothers-lothers2010pahari[Appendix B.1, printed p. 181, item 134, THA]"
1203,LONG,plains,poth,Pahari-Pothwari,paha1251,f_ed6ursyst3xga,lamã,long,,,,,unlinked,"lothers-lothers2010pahari[Appendix B.1, printed p. 181, item 134, LOR]"
1203,LONG,plains,poth,Pahari-Pothwari,paha1251,f_6ury3np2ghfd2,lamã,long,,,,,unlinked,"lothers-lothers2010pahari[Appendix B.1, printed p. 181, item 134, OSI]"
1203,LONG,plains,poth,Pahari-Pothwari,paha1251,f_cy7s2rletymi2,lamã,long,,,,,unlinked,"lothers-lothers2010pahari[Appendix B.1, printed p. 181, item 134, MUZ]"
1203,LONG,plains,poth,Pahari-Pothwari,paha1251,f_mxukpwo67qrlw,lama,long,,,,,unlinked,"lothers-lothers2010pahari[Appendix B.1, printed p. 181, item 134, DUN]"
1203,LONG,plains,poth,Pahari-Pothwari,paha1251,f_37mrgc2qyns4u,lamã,long,,,,,unlinked,"lothers-lothers2010pahari[Appendix B.1, printed p. 181, item 134, BHA]"
1203,LONG,plains,poth,Pahari-Pothwari,paha1251,f_qx3u72bdrrllk,lamã,long,,,,,unlinked,"lothers-lothers2010pahari[Appendix B.1, printed p. 181, item 134, MIR]"
1203,LONG,plains,poth,Pahari-Pothwari,paha1251,f_mitjfmb3bnlyg,lamã,long,,,,,unlinked,"lothers-lothers2010pahari[Appendix B.1, printed p. 181, item 134, GUJ]"
1203,LONG,plains,Noiri,Noiri,noir1238,f_vf2lt45gz67se,lambo,long,,,,,unlinked,"varghesekumar2015noira[Appendix A3, printed p. 56, item 134, list NCH]"
